family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-01-1,88,192,PI_DIST,1,42,2,28,4,3.14,211,304,176,768,544,8,6,30,86.5,57,46,113,4,53,0,35,2,0,180000,4,1.02,4,0,63,,,CERTIFIED,276,93.2
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-01-2,88,192,PI_DIST,1,42,2,28,4,3.14,60,304,176,768,544,8,6,4,104.2,56,48,112,2,54,0,15,0,0,180000,4,1.18,2,0,63,,,CERTIFIED,79,106.9
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-02-1,88,192,PI_DIST,1,42,2,28,4,3.14,48,304,176,768,544,8,6,2,116.8,108,0,108,0,108,0,16,1,0,180000,4,1.33,0,0,88,,,CERTIFIED,66,122.5
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-02-2,88,192,PI_DIST,1,42,2,28,4,3.14,47,304,176,768,544,8,6,3,146.0,108,0,108,0,108,0,17,1,0,180000,4,1.47,0,0,88,,,CERTIFIED,67,149.9
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-03-1,88,192,PI_DIST,1,42,2,28,4,3.14,53,304,176,768,544,8,6,1,163.7,33,69,114,1,32,0,10,1,0,180000,4,1.00,1,0,53,,,CERTIFIED,64,164.7
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-03-2,88,192,PI_DIST,1,42,2,28,4,3.14,44,304,176,768,544,8,6,2,173.5,35,67,114,3,32,0,9,1,0,180000,4,1.04,3,0,53,,,CERTIFIED,55,175.8
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-04-1,88,192,PI_DIST,1,42,2,27,8,3.26,44,336,176,864,544,8,6,2,176.5,103,7,138,1,102,0,12,1,0,180000,4,1.07,1,0,84,,,CERTIFIED,58,179.5
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-04-2,88,192,PI_DIST,1,42,2,27,8,3.26,40,336,176,864,544,8,6,2,189.4,112,4,132,4,108,0,11,1,0,180000,4,1.03,4,0,84,,,CERTIFIED,53,194.3
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-01-1,176,384,PI_DIST,1,42,2,56,4,3.14,140,608,352,1536,544,8,6,3,208.3,216,0,216,0,216,0,18,1,0,180000,4,1.02,0,0,176,,,CERTIFIED,161,214.2
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-01-2,176,384,PI_DIST,1,42,2,56,4,3.14,142,608,352,1536,544,8,6,2,224.3,216,0,216,0,216,0,19,1,0,180000,4,1.30,0,0,176,,,CERTIFIED,163,224.3
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-02-1,176,384,PI_DIST,1,42,2,56,4,3.14,133,608,352,1536,544,8,6,3,225.9,216,0,216,0,216,0,11,1,0,180000,4,1.22,0,0,176,,,CERTIFIED,147,225.9
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-02-2,176,384,PI_DIST,1,42,2,56,4,3.14,141,608,352,1536,544,8,6,2,235.8,216,0,216,0,216,0,11,1,0,180000,4,1.12,0,0,176,,,CERTIFIED,154,235.8
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-03-1,176,384,PI_DIST,1,42,2,56,4,3.14,134,608,352,1536,544,8,6,2,246.0,216,0,216,0,216,0,12,1,0,180000,4,1.14,0,0,176,,,CERTIFIED,148,247.5
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-03-2,176,384,PI_DIST,1,42,2,56,4,3.14,126,608,352,1536,544,8,6,2,271.1,216,0,216,0,216,0,11,1,0,180000,4,1.19,0,0,176,,,CERTIFIED,139,275.7
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-04-1,176,384,PI_DIST,1,42,2,56,4,3.14,140,608,352,1536,544,8,6,2,284.1,216,0,216,0,216,0,10,1,0,180000,4,1.09,0,0,176,,,CERTIFIED,152,284.7
