family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-01-1,88,192,88,63,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-01-2,88,192,88,63,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-02-1,88,192,88,88,2,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-02-2,88,192,88,88,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-03-1,88,192,88,53,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-03-2,88,192,88,53,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-04-1,88,192,88,84,3,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0088-04-2,88,192,88,84,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-01-1,176,384,176,176,3,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-01-2,176,384,176,176,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-02-1,176,384,176,176,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-02-2,176,384,176,176,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-03-1,176,384,176,176,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-03-2,176,384,176,176,3,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-04-1,176,384,176,176,3,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0176-04-2,176,384,176,176,2,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-01-1,264,576,264,264,3,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-01-2,264,576,264,264,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-02-1,264,576,264,264,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-02-2,264,576,264,264,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-03-1,264,576,264,264,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-03-2,264,576,264,264,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-04-1,264,576,264,260,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0264-04-2,264,576,264,260,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-01-1,352,768,352,352,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-01-2,352,768,352,352,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-02-1,352,768,352,352,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-02-2,352,768,352,352,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-03-1,352,768,352,352,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-03-2,352,768,352,352,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-04-1,352,768,352,352,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0352-04-2,352,768,352,352,3,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-01-1,440,960,440,440,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-01-2,440,960,440,440,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-02-1,440,960,440,440,3,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-02-2,440,960,440,440,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-03-1,440,960,440,440,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-03-2,440,960,440,440,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-04-1,440,960,440,440,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0440-04-2,440,960,440,440,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-01-1,528,1152,528,528,8,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-01-2,528,1152,528,528,4,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-02-1,528,1152,528,528,8,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-02-2,528,1152,528,528,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-03-1,528,1152,528,528,8,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-03-2,528,1152,528,528,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-04-1,528,1152,528,528,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0528-04-2,528,1152,528,528,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-01-1,616,1344,616,616,11,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-01-2,616,1344,616,616,10,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-02-1,616,1344,616,616,12,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-02-2,616,1344,616,616,9,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-03-1,616,1344,616,616,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-03-2,616,1344,616,616,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-04-1,616,1344,616,616,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0616-04-2,616,1344,616,616,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-01-1,704,1536,704,704,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-01-2,704,1536,704,704,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-02-1,704,1536,704,704,10,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-02-2,704,1536,704,704,9,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-03-1,704,1536,704,704,5,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-03-2,704,1536,704,704,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-04-1,704,1536,704,704,6,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0704-04-2,704,1536,704,704,8,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-01-1,792,1728,792,792,13,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-01-2,792,1728,792,792,14,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-02-1,792,1728,792,792,11,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-02-2,792,1728,792,792,14,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-03-1,792,1728,792,792,38,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-03-2,792,1728,792,792,37,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-04-1,792,1728,792,792,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0792-04-2,792,1728,792,792,7,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0880-01-1,880,1920,880,880,16,false,OK,traces,4096,3600,false
cfi-rigid-z2,graphs/cfi-rigid-z2/cfi-rigid-z2-0880-01-2,880,1920,880,880,15,false,OK,traces,4096,3600,false
