family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-02-1,216,432,PI_DIST,1,42,72,72,4,3.00,53,720,432,1728,0,8,6,31,264.3,252,252,,0,252,0,21,,,10000,1,,0,0,216,,,CERTIFIED,105,266.3,,,,PI,false,AUTO,216,GLOBAL,1728,,CRYPTOMINISAT_XOR,32
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-02-2,216,432,PI_DIST,1,42,72,72,4,3.00,54,720,432,1728,0,8,6,31,269.4,252,252,,0,252,0,21,,,10000,1,,0,0,216,,,CERTIFIED,106,269.4,,,,PI,false,AUTO,216,GLOBAL,1728,,CRYPTOMINISAT_XOR,32
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-03-1,216,432,PI_DIST,1,42,72,72,4,3.00,50,720,432,1728,0,8,6,32,271.8,252,252,,0,252,0,21,,,10000,1,,0,0,216,,,CERTIFIED,103,272.2,,,,PI,false,AUTO,216,GLOBAL,1728,,CRYPTOMINISAT_XOR,32
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-03-2,216,432,PI_DIST,1,42,72,72,4,3.00,54,720,432,1728,0,8,6,35,272.7,252,252,,0,252,0,22,,,10000,1,,0,0,216,,,CERTIFIED,111,272.7,,,,PI,false,AUTO,216,GLOBAL,1728,,CRYPTOMINISAT_XOR,32
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-04-1,216,432,PI_DIST,1,42,72,72,4,3.00,56,720,432,1728,0,8,6,37,272.7,252,252,,0,252,0,20,,,10000,1,,0,0,216,,,CERTIFIED,113,272.7,,,,PI,false,AUTO,216,GLOBAL,1728,,CRYPTOMINISAT_XOR,32
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0216-04-2,216,432,PI_DIST,1,42,72,72,4,3.00,54,720,432,1728,0,8,6,35,272.7,252,252,,0,252,0,21,,,10000,1,,0,0,216,,,CERTIFIED,110,272.7,,,,PI,false,AUTO,216,GLOBAL,1728,,CRYPTOMINISAT_XOR,32
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-01-1,288,576,PI_DIST,1,42,96,96,4,3.00,100,960,576,2304,0,8,6,54,313.8,336,336,,0,336,0,29,,,10000,1,,0,0,288,,,CERTIFIED,183,314.5,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,42
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-01-2,288,576,PI_DIST,1,42,96,96,4,3.00,128,960,576,2304,0,8,6,40,323.4,336,336,,0,336,0,30,,,10000,1,,0,0,288,,,CERTIFIED,198,323.4,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,42
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-02-1,288,576,PI_DIST,1,42,96,96,4,3.00,125,960,576,2304,0,8,6,40,323.4,336,336,,0,336,0,29,,,10000,1,,0,0,288,,,CERTIFIED,194,323.4,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,42
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0288-02-2,288,576,PI_DIST,1,42,96,96,4,3.00,96,960,576,2304,0,8,6,42,323.4,336,336,,0,336,0,28,,,10000,1,,0,0,288,,,CERTIFIED,166,323.4,,,,PI,false,AUTO,288,GLOBAL,2304,,CRYPTOMINISAT_XOR,42
